id,title,description,address,city,country,pricePerNight,maxGuests,bedrooms,bathrooms,amenities,images,status,isActive,ownerId,createdAt,updatedAt
vil001,"Villa Atlas View","Luxury villa with stunning Atlas Mountain views and private pool","123 Avenue Hassan II, Gueliz",Marrakech,Morocco,450.00,8,4,3,"Pool|WiFi|Air Conditioning|Kitchen|Parking|Garden","https://example.com/villa1-1.jpg|https://example.com/villa1-2.jpg|https://example.com/villa1-3.jpg",AVAILABLE,true,usr008,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
vil002,"Riad Medina Charm","Traditional riad in the heart of Marrakech medina with rooftop terrace","45 Derb Sidi Bouamar, Medina",Marrakech,Morocco,280.00,6,3,2,"WiFi|Air Conditioning|Terrace|Traditional Architecture|Central Location","https://example.com/villa2-1.jpg|https://example.com/villa2-2.jpg",AVAILABLE,true,usr010,2023-09-02T11:30:00Z,2023-09-02T11:30:00Z
vil003,"Coastal Paradise Villa","Beachfront villa with direct ocean access and modern amenities","789 Corniche Road",Essaouira,Morocco,380.00,10,5,4,"Beach Access|Pool|WiFi|Kitchen|Parking|Sea View|Surfboard Rental","https://example.com/villa3-1.jpg|https://example.com/villa3-2.jpg|https://example.com/villa3-3.jpg|https://example.com/villa3-4.jpg",AVAILABLE,true,usr008,2023-09-03T14:15:00Z,2023-09-03T14:15:00Z
vil004,"Desert Oasis Resort","Luxury desert villa with traditional Berber architecture","Km 15 Route de Ouarzazate",Merzouga,Morocco,520.00,12,6,5,"Pool|WiFi|Air Conditioning|Kitchen|Parking|Desert View|Camel Rides|Traditional Decor","https://example.com/villa4-1.jpg|https://example.com/villa4-2.jpg|https://example.com/villa4-3.jpg",AVAILABLE,true,usr010,2023-09-04T16:45:00Z,2023-09-04T16:45:00Z
vil005,"Casablanca Business Suite","Modern apartment perfect for business travelers","56 Boulevard Mohamed V",Casablanca,Morocco,180.00,4,2,2,"WiFi|Air Conditioning|Kitchen|City Center|Business Facilities","https://example.com/villa5-1.jpg|https://example.com/villa5-2.jpg",MAINTENANCE,true,usr008,2023-09-05T09:20:00Z,2023-09-05T09:20:00Z
vil006,"Fes Heritage House","Historic house in ancient Fes with traditional Moroccan design","23 Talaa Kebira, Medina",Fes,Morocco,320.00,8,4,3,"WiFi|Traditional Architecture|Central Location|Courtyard|Fountain","https://example.com/villa6-1.jpg|https://example.com/villa6-2.jpg|https://example.com/villa6-3.jpg",AVAILABLE,true,usr010,2023-09-06T12:10:00Z,2023-09-06T12:10:00Z
vil007,"Agadir Beach Resort","Luxury beachfront resort villa with pool and spa services","234 Boulevard du 20 Aout",Agadir,Morocco,420.00,10,5,4,"Beach Access|Pool|WiFi|Air Conditioning|Kitchen|Parking|Spa Services|Golf Access","https://example.com/villa7-1.jpg|https://example.com/villa7-2.jpg|https://example.com/villa7-3.jpg|https://example.com/villa7-4.jpg",AVAILABLE,true,usr008,2023-09-07T15:30:00Z,2023-09-07T15:30:00Z
vil008,"Chefchaouen Blue Villa","Charming villa in the blue city with mountain views","12 Rue Tarik Ibn Ziad",Chefchaouen,Morocco,250.00,6,3,2,"WiFi|Mountain View|Traditional Blue Architecture|Garden|Hiking Access","https://example.com/villa8-1.jpg|https://example.com/villa8-2.jpg",AVAILABLE,true,usr010,2023-09-08T08:45:00Z,2023-09-08T08:45:00Z
vil009,"Rabat Royal Villa","Elegant villa near the royal palace with modern amenities","67 Avenue Allal Ben Abdellah",Rabat,Morocco,350.00,8,4,3,"Pool|WiFi|Air Conditioning|Kitchen|Parking|Garden|Near Royal Sites","https://example.com/villa9-1.jpg|https://example.com/villa9-2.jpg|https://example.com/villa9-3.jpg",UNAVAILABLE,false,usr008,2023-09-09T13:25:00Z,2023-09-09T13:25:00Z
vil010,"Tangier Medina Retreat","Traditional house in Tangier's historic medina with sea glimpses","34 Rue des Consuls, Medina",Tangier,Morocco,290.00,6,3,2,"WiFi|Sea Glimpses|Traditional Architecture|Medina Location|Terrace","https://example.com/villa10-1.jpg|https://example.com/villa10-2.jpg",AVAILABLE,true,usr010,2023-09-10T17:00:00Z,2023-09-10T17:00:00Z
